question,prompt_version,retrieved_docs,answer
How can I create text embeddings programmatically using the API?,plain,"Quick code tutorial: Create text embeddings, Quick code tutorial: Create text embeddings, Quick code tutorial: Create text embeddings","You can create text embeddings programmatically using the watsonx.ai API and SDKs in Python, Node.js, or Curl.

Here are the ways to do it:

*   **Python:**
    1.  Import `Credentials` and `Embeddings` from `ibm_watsonx_ai`.
    2.  Initialize `Credentials` with your `api_key` and `url`.
    3.  Create an `Embeddings` object, specifying `model_id` (e.g., ""ibm/slate-125m-english-rtrvr""), `credentials`, and `project_id`.
    4.  Call the `embedding.embed_documents()` method, passing a list of `texts`.

    Example code snippet:
    ```python
    from ibm_watsonx_ai import Credentials
    from ibm_watsonx_ai.foundation_models import Embeddings
    import json

    credentials = Credentials(
        api_key = ""{apikey}"" ,
        url = ""{watsonx_ai_url}""
    )
    embedding = Embeddings(
        model_id= ""ibm/slate-125m-english-rtrvr"" ,
        credentials = credentials,
        project_id = ""{project_id}""
    )
    texts = [
        ""Youth craves thrills while adulthood cherishes wisdom."" ,
        ""Youth seeks ambition while adulthood finds contentment."" ,
        ""Dreams chased in youth while goals pursued in adulthood.""
    ]
    result = embedding.embed_documents( texts = texts )
    print ( json.dumps( result, indent= 3 ) )
    ```

*   **Node.js:**
    1.  Require `IamAuthenticator` from `ibm-cloud-sdk-core` and `WatsonXAI` from `@ibm-cloud/watsonx-ai`.
    2.  Create an `IamAuthenticator` instance with your `apikey`.
    3.  Define an array of `inputs` (texts).
    4.  Call the `watsonxAI_service.embedText()` method, providing `inputs`, `modelId` (e.g., ""ibm/slate-125m-english-rtrvr""), and `projectId`.

    Example code snippet:
    ```javascript
    const { IamAuthenticator } = require( ""ibm-cloud-sdk-core"" );
    const { WatsonXAI } = require( ""@ibm-cloud/watsonx-ai"" );
    const authenticator = new IamAuthenticator( { ""apikey"" : ""{apikey}"" } );
    const inputs = [
        ""Youth craves thrills while adulthood cherishes wisdom."" ,
        ""Youth seeks ambition while adulthood finds contentment."" ,
        ""Dreams chased in youth while goals pursued in adulthood.""
    ];
    watsonxAI_service.embedText( {
        ""inputs"" : inputs,
        ""modelId"" : ""ibm/slate-125m-english-rtrvr"" ,
        ""projectId"" : ""{project_id}""
    } ). then ( ( response ) => {
        console.log( JSON.stringify( response.results, null, 3 ) );
    } );
    ```

*   **Curl (REST API):**
    1.  Create a JSON file with the input texts, `model_id`, and `project_id`.
        Example `JSON-file` content:
        ```json
        {
            ""inputs"" : [
                ""Youth craves thrills while adulthood cherishes wisdom."",
                ""Youth seeks ambition while adulthood finds contentment."",
                ""Dreams chased in youth while goals pursued in adulthood.""
            ],
            ""model_id"" : ""ibm/slate-125m-english-rtrvr"",
            ""project_id"" : ""<your-project-id>""
        }
        ```
    2.  Run a `curl` POST request to `<your-service-url>/ml/v1/text/embeddings?version=2024-05-31`.
    3.  Include an `Authorization` header with a bearer token and a `Content-Type` header set to `application/json`.
    4.  Pass the JSON file content using `--data ""@""{JSON-file}""`.

    Example curl command:
    ```bash
    curl -X POST \
    -H ""Authorization: Bearer {token}"" \
    -H ""Content-Type: application/json"" \
    <your-service-url>/ml/v1/text/embeddings?version=2024-05-31 \
    --data ""@{JSON-file}""
    ```"
How can I create text embeddings programmatically using the API?,grounded,"Quick code tutorial: Create text embeddings, Quick code tutorial: Create text embeddings, Quick code tutorial: Create text embeddings","You can create text embeddings programmatically using the watsonx.ai API and SDKs (Title: Quick code tutorial: Create text embeddings).

Specific methods include:
*   **Python:** Use the `ibm_watsonx_ai` library, initialize `Credentials`, and then use the `Embeddings` class with a specified `model_id` and `project_id` to call `embed_documents()` (Title: Quick code tutorial: Create text embeddings).
*   **Node.js:** Use `ibm-cloud-sdk-core` for authentication and `@ibm-cloud/watsonx-ai`. Initialize `WatsonXAI` and call `watsonxAI_service.embedText()` with `inputs`, `modelId`, and `projectId` (Title: Quick code tutorial: Create text embeddings).
*   **Curl:** Send a POST request to the `/ml/v1/text/embeddings` endpoint, including authorization bearer token and a JSON file containing the `inputs`, `model_id`, and `project_id` (Title: Quick code tutorial: Create text embeddings)."
How can I retrieve a list of supported foundation models and find their model IDs?,plain,"Quick code tutorial: List models, Quick code tutorial: List models, Planning the implementation workflow for your generative AI solution","You can retrieve a list of supported foundation models and find their model IDs programmatically using the watsonx.ai API and SDK.

**Steps:**
1.  **Prerequisite:** Complete the one-time steps to gather your credentials and prepare your system.
2.  **Choose a method:**
    *   **Python:** Add the following code to an `example.py` file, replacing `{watsonx_ai_url}` and `{apikey}` with your values:
        ```python
        from ibm_watsonx_ai import APIClient
        from ibm_watsonx_ai import Credentials

        credentials = Credentials(
            url = ""{watsonx_ai_url}"",
            api_key = {apikey},
        )
        api_client = APIClient(credentials)
        api_client.foundation_models.TextModels.show()
        ```
    *   **Curl:** Run the following curl request, replacing `{token}` and `{watsonx_ai_url}` with your values:
        ```bash
        curl -X GET \
        -H ""Authorization: Bearer {token}"" \
        -H ""Content-Type: application/json"" \
        -H ""Accept: application/json"" \
        {watsonx_ai_url}/ml/v1/foundation_model_specs?version=2024-05-31
        ```
3.  Once the models are listed, copy the model ID of the model you want."
How can I retrieve a list of supported foundation models and find their model IDs?,grounded,"Quick code tutorial: List models, Quick code tutorial: List models, Planning the implementation workflow for your generative AI solution","You can list supported foundation models programmatically with the watsonx.ai API and SDK using Python or Curl. After listing the models, you can find and copy the model IDs (Title: Quick code tutorial: List models)."
How do I bake a classic chocolate chip cookie?,plain,"Quick code tutorial: Quick start and generate text, Quick code tutorial: Chat with a model, Quick code tutorial: Chat with a model","I cannot provide instructions on how to bake a classic chocolate chip cookie based on the provided context, as the context is empty."
How do I bake a classic chocolate chip cookie?,grounded,"Quick code tutorial: Quick start and generate text, Quick code tutorial: Chat with a model, Quick code tutorial: Chat with a model",I don't know based on the provided documents.
What is the capital of France?,plain,"Quick code tutorial: Quick start and generate text, Quick code tutorial: Chat with a model, Quick code tutorial: Quick start and generate text","I am sorry, but the provided context does not contain the answer to the question ""What is the capital of France?""."
What is the capital of France?,grounded,"Quick code tutorial: Quick start and generate text, Quick code tutorial: Chat with a model, Quick code tutorial: Quick start and generate text",I don't know based on the provided documents.
Who won the Super Bowl in 2024?,plain,"Quick code tutorial: Call a tool, Quick code tutorial: Call a tool, Quick code tutorial: Rerank text","I am sorry, but the provided context does not contain information about who won the Super Bowl in 2024."
Who won the Super Bowl in 2024?,grounded,"Quick code tutorial: Call a tool, Quick code tutorial: Call a tool, Quick code tutorial: Rerank text",I don't know based on the provided documents.
